iter	Passed	Remaining
592	5485	3764
593	5493	3754
594	5501	3744
595	5509	3734
596	5517	3724
597	5525	3714
598	5535	3705
599	5542	3695
600	5551	3685
601	5558	3675
602	5566	3664
603	5572	3653
604	5579	3642
605	5585	3631
606	5593	3621
607	5601	3611
608	5608	3601
609	5617	3591
610	5624	3580
611	5633	3571
612	5640	3560
613	5650	3552
614	5663	3545
615	5671	3535
616	5679	3525
617	5685	3514
618	5693	3504
619	5700	3493
620	5708	3483
621	5714	3473
622	5723	3463
623	5730	3452
624	5736	3442
625	5744	3431
626	5750	3421
627	5759	3411
628	5765	3400
629	5773	3390
630	5779	3379
631	5784	3368
632	5793	3358
633	5801	3348
634	5809	3339
635	5815	3328
636	5823	3318
637	5829	3307
638	5839	3299
639	5846	3288
640	5863	3283
641	5877	3277
642	5888	3269
643	5894	3258
644	5903	3248
645	5909	3238
646	5918	3229
647	5924	3218
648	5934	3209
649	5943	3200
650	5950	3189
651	5956	3179
652	5962	3168
653	5970	3158
654	5976	3148
655	5984	3138
656	5991	3127
657	5998	3117
658	6005	3107
659	6016	3099
660	6024	3089
661	6035	3081
662	6044	3072
663	6053	3063
664	6067	3056
665	6083	3050
666	6089	3040
667	6098	3031
668	6105	3020
669	6114	3011
670	6120	3001
671	6130	2992
672	6138	2982
673	6147	2973
674	6153	2962
675	6162	2953
676	6168	2943
677	6176	2933
678	6182	2923
679	6189	2912
680	6195	2902
681	6200	2891
682	6207	2881
683	6213	2870
684	6220	2860
685	6227	2850
686	6235	2840
687	6241	2830
688	6249	2820
689	6257	2811
690	6266	2802
691	6274	2792
692	6279	2781
693	6287	2772
694	6292	2761
695	6297	2750
696	6304	2740
697	6310	2730
698	6315	2719
699	6322	2709
700	6327	2699
701	6338	2690
702	6343	2680
703	6353	2671
704	6361	2661
705	6369	2652
706	6376	2642
707	6385	2633
708	6391	2623
709	6399	2613
710	6407	2604
711	6416	2595
712	6422	2585
713	6431	2576
714	6437	2566
715	6447	2557
716	6456	2548
717	6467	2540
718	6472	2529
719	6482	2520
720	6487	2510
721	6494	2500
722	6500	2490
723	6509	2481
724	6515	2471
725	6520	2461
726	6527	2451
727	6533	2441
728	6538	2430
729	6544	2420
730	6551	2410
731	6558	2401
732	6563	2390
733	6568	2380
734	6576	2371
735	6582	2361
736	6590	2351
737	6597	2342
738	6603	2332
739	6610	2322
740	6616	2312
741	6624	2303
742	6630	2293
743	6645	2286
744	6655	2278
745	6665	2269
746	6678	2261
747	6686	2252
748	6693	2243
749	6700	2233
750	6707	2223
751	6713	2213
752	6720	2204
753	6726	2194
754	6733	2185
755	6740	2175
756	6746	2165
757	6754	2156
758	6761	2146
759	6768	2137
760	6774	2127
761	6782	2118
762	6792	2109
763	6800	2100
764	6807	2091
765	6814	2081
766	6820	2071
767	6826	2062
768	6834	2052
769	6840	2043
770	6849	2034
771	6856	2024
772	6867	2016
773	6873	2007
774	6885	1999
775	6893	1989
776	6900	1980
777	6907	1970
778	6914	1961
779	6920	1951
780	6928	1942
781	6934	1933
782	6945	1924
783	6952	1915
784	6962	1906
785	6968	1897
786	6977	1888
787	6984	1879
788	6993	1870
789	7000	1860
790	7009	1851
791	7015	1842
792	7024	1833
793	7031	1824
794	7040	1815
795	7050	1806
796	7059	1798
797	7075	1791
798	7091	1784
799	7099	1774
800	7107	1765
801	7113	1756
802	7121	1747
803	7127	1737
804	7136	1728
805	7143	1719
806	7151	1710
807	7157	1700
808	7164	1691
809	7171	1682
810	7177	1672
811	7185	1663
812	7191	1654
813	7199	1645
814	7205	1635
815	7213	1626
816	7220	1617
817	7230	1608
818	7240	1600
819	7250	1591
820	7258	1582
821	7268	1574
822	7280	1565
823	7291	1557
824	7302	1548
825	7311	1540
826	7318	1531
827	7329	1522
828	7336	1513
829	7346	1504
830	7353	1495
831	7363	1486
832	7377	1479
833	7383	1469
834	7390	1460
835	7396	1451
836	7403	1441
837	7411	1432
838	7417	1423
839	7425	1414
840	7431	1405
841	7439	1396
842	7446	1386
843	7455	1377
844	7464	1369
845	7473	1360
846	7482	1351
847	7493	1343
848	7499	1333
849	7511	1325
850	7518	1316
851	7525	1307
852	7531	1297
853	7539	1288
854	7545	1279
855	7555	1270
856	7562	1261
857	7571	1253
858	7578	1243
859	7587	1235
860	7593	1225
861	7602	1217
862	7609	1207
863	7618	1199
864	7624	1189
865	7633	1181
866	7639	1171
867	7653	1163
868	7659	1154
869	7669	1146
870	7678	1137
871	7687	1128
872	7701	1120
873	7709	1111
874	7717	1102
875	7723	1093
876	7731	1084
877	7737	1075
878	7745	1066
879	7751	1057
880	7758	1047
881	7766	1039
882	7772	1029
883	7781	1021
884	7788	1012
885	7797	1003
886	7803	994
887	7810	985
888	7816	975
889	7824	967
890	7830	957
891	7836	948
892	7843	939
893	7849	930
894	7857	921
895	7864	912
896	7871	903
897	7878	894
898	7887	886
899	7894	877
900	7902	868
901	7911	859
902	7927	851
903	7937	842
904	7943	833
905	7951	824
906	7960	816
907	7969	807
908	7976	798
909	7985	789
910	7992	780
911	8000	771
912	8007	763
913	8014	754
914	8021	745
915	8028	736
916	8037	727
917	8043	718
918	8054	709
919	8061	700
920	8073	692
921	8082	683
922	8089	674
923	8097	666
924	8104	657
925	8113	648
926	8122	639
927	8133	631
928	8141	622
929	8149	613
930	8155	604
931	8163	595
932	8169	586
933	8176	577
934	8183	568
935	8189	559
936	8197	551
937	8205	542
938	8213	533
939	8220	524
940	8227	515
941	8233	506
942	8239	498
943	8246	489
944	8252	480
945	8261	471
946	8267	462
947	8275	453
948	8282	445
949	8291	436
950	8297	427
951	8305	418
952	8312	409
953	8319	401
954	8329	392
955	8346	384
956	8354	375
957	8361	366
958	8367	357
959	8375	348
960	8381	340
961	8389	331
962	8396	322
963	8403	313
964	8409	305
965	8418	296
966	8425	287
967	8433	278
968	8440	270
969	8446	261
970	8454	252
971	8461	243
972	8472	235
973	8488	226
974	8500	217
975	8509	209
976	8520	200
977	8532	191
978	8541	183
979	8550	174
980	8557	165
981	8566	157
982	8573	148
983	8581	139
984	8588	130
985	8596	122
986	8603	113
987	8610	104
988	8619	95
989	8627	87
990	8633	78
991	8640	69
992	8647	60
993	8653	52
994	8660	43
995	8667	34
996	8673	26
997	8681	17
998	8687	8
999	8695	0
